日期,小时,监测站,CO,FSP,NO2,NOX,O3,RSP,SO2,CO-W,FSP-W,date
11/2/2020,11,中環,115,24,101,248,21,36,7,89,33,2030/5/28
11/2/2020,12,中環,105,27,84,172,29,39,5,84,31,2030/5/29
11/2/2020,13,中環,105,27,71,126,42,42,4,87,32,2030/5/30
11/2/2020,14,中環,104,27,76,129,43,46,5,84,31,2030/5/31
11/2/2020,15,中環,108,30,83,149,40,50,5,82,32,2030/6/1
11/2/2020,16,中環,104,32,98,190,32,49,6,82,33,2030/6/2
11/2/2020,17,中環,106,28,89,152,35,45,5,89,32,2030/6/3
11/2/2020,18,中環,110,23,100,191,31,32,5,96,34,2030/6/4
11/2/2020,19,中環,110,23,105,213,31,30,6,94,36,2030/6/5
11/2/2020,20,中環,109,33,89,141,41,44,4,94,39,2030/6/6
11/2/2020,21,中環,113,31,75,119,45,46,4,89,39,2030/6/7
11/2/2020,22,中環,106,30,68,97,51,47,4,86,39,2030/6/8
11/2/2020,23,中環,107,31,65,95,46,49,4,83,38,2030/6/9
11/2/2020,24,中環,101,35,65,95,47,57,4,86,39,2030/6/10
12/2/2020,1,中環,93,32,45,61,56,56,4,78,38,2030/6/11
12/2/2020,2,中環,103,30,50,69,49,57,3,82,37,2030/6/12
12/2/2020,3,中環,94,34,42,56,56,62,3,74,34,2030/6/13
12/2/2020,4,中環,93,33,38,53,57,57,3,72,33,2030/6/14
12/2/2020,5,中環,95,34,46,65,47,59,3,78,35,2030/6/15
12/2/2020,6,中環,103,33,62,95,36,57,4,72,35,2030/6/16
12/2/2020,7,中環,105,35,72,121,18,57,4,77,36,2030/6/17
12/2/2020,8,中環,115,35,87,188,9,51,5,84,41,2030/6/18
12/2/2020,9,中環,116,37,108,281,8,56,7,90,41,2030/6/19
12/2/2020,10,中環,125,36,109,313,6,63,8,82,40,2030/6/20
12/2/2020,11,中環,131,35,107,401,7,58,11,98,36,2030/6/21
12/2/2020,12,中環,135,44,110,411,5,70,11,113,53,2030/6/22
12/2/2020,13,中環,133,46,104,330,7,75,9,107,65,2030/6/23
12/2/2020,14,中環,133,35,100,263,11,55,9,92,57,2030/6/24
12/2/2020,15,中環,117,30,102,267,10,45,8,85,33,2030/6/25
12/2/2020,16,中環,131,32,123,388,6,52,10,83,40,2030/6/26
12/2/2020,17,中環,129,43,122,400,5,76,11,79,36,2030/6/27
12/2/2020,18,中環,135,43,116,381,6,81,13,83,27,2030/6/28
12/2/2020,19,中環,121,30,87,208,12,53,7,94,24,2030/6/29
12/2/2020,20,中環,126,22,104,318,7,35,9,101,32,2030/6/30
12/2/2020,21,中環,131,31,93,302,11,52,10,95,36,2030/7/1
12/2/2020,22,中環,121,22,83,223,14,35,7,92,33,2030/7/2
12/2/2020,23,中環,158,22,95,356,5,39,10,96,30,2030/7/3
12/2/2020,24,中環,143,24,65,216,5,41,7,125,30,2030/7/4
13/2/2020,1,中環,142,21,65,243,5,40,7,137,32,2030/7/5
13/2/2020,2,中環,135,23,66,260,5,41,8,122,29,2030/7/6
13/2/2020,3,中環,126,27,71,231,5,42,7,96,27,2030/7/7
13/2/2020,4,中環,108,22,58,146,4,33,5,93,29,2030/7/8
13/2/2020,5,中環,96,26,56,101,7,42,4,98,25,2030/7/9
13/2/2020,6,中環,106,23,55,108,10,36,4,75,18,2030/7/10
13/2/2020,7,中環,104,20,62,131,9,31,5,67,15,2030/7/11
13/2/2020,8,中環,115,16,85,346,6,30,9,74,20,2030/7/12
13/2/2020,9,中環,123,22,102,412,5,42,11,85,26,2030/7/13
13/2/2020,10,中環,134,23,95,405,4,36,10,95,23,2030/7/14
13/2/2020,11,中環,148,19,74,389,4,31,10,104,17,2030/7/15
13/2/2020,12,中環,137,15,78,363,4,19,10,97,13,2030/7/16
13/2/2020,13,中環,143,13,95,293,7,16,8,104,14,2030/7/17
13/2/2020,14,中環,146,12,99,284,6,16,8,104,18,2030/7/18
13/2/2020,15,中環,124,14,93,242,9,19,7,89,18,2030/7/19
13/2/2020,16,中環,115,8,81,206,16,13,6,86,14,2030/7/20
13/2/2020,17,中環,115,13,100,221,13,17,6,86,16,2030/7/21
13/2/2020,18,中環,122,15,98,278,9,20,8,92,15,2030/7/22
13/2/2020,19,中環,119,15,91,261,9,20,7,90,16,2030/7/23
13/2/2020,20,中環,109,11,75,155,13,16,5,99,18,2030/7/24
13/2/2020,21,中環,124,15,81,198,9,21,6,97,16,2030/7/25
13/2/2020,22,中環,115,13,67,144,14,19,5,87,18,2030/7/26
13/2/2020,23,中環,110,11,69,139,13,19,5,101,16,2030/7/27
13/2/2020,24,中環,110,9,76,168,10,19,6,82,14,2030/7/28
14/2/2020,1,中環,103,12,63,126,13,26,5,86,12,2030/7/29
14/2/2020,2,中環,100,10,56,93,22,24,4,80,12,2030/7/30
14/2/2020,3,中環,88,10,34,44,40,23,4,78,9,2030/7/31
14/2/2020,4,中環,87,12,28,37,43,22,4,72,7,2030/8/1
14/2/2020,5,中環,88,5,38,62,30,12,4,88,12,2030/8/2
14/2/2020,6,中環,92,14,42,72,26,18,4,69,11,2030/8/3
14/2/2020,7,中環,87,7,41,63,30,8,4,64,14,2030/8/4
14/2/2020,8,中環,95,10,71,151,10,13,5,93,13,2030/8/5
14/2/2020,9,中環,115,14,89,267,8,18,8,85,16,2030/8/6
14/2/2020,10,中環,110,16,75,210,7,21,6,90,16,2030/8/7
14/2/2020,11,中環,110,11,80,251,8,14,7,99,19,2030/8/8
14/2/2020,12,中環,121,10,82,321,8,13,4,87,23,2030/8/9
14/2/2020,13,中環,107,14,74,204,11,18,4,78,19,2030/8/10
14/2/2020,14,中環,106,16,71,178,13,21,5,76,19,2030/8/11
14/2/2020,15,中環,122,17,79,189,11,22,8,78,21,2030/8/12
14/2/2020,16,中環,112,18,86,194,12,26,6,83,26,2030/8/13
14/2/2020,17,中環,115,20,84,171,15,29,4,84,29,2030/8/14
14/2/2020,18,中環,108,17,80,157,16,30,4,92,28,2030/8/15
14/2/2020,19,中環,110,22,86,171,14,35,4,99,26,2030/8/16
14/2/2020,20,中環,106,19,72,131,23,33,4,91,27,2030/8/17
14/2/2020,21,中環,106,19,64,112,26,31,3,86,25,2030/8/18
14/2/2020,22,中環,102,20,57,95,28,30,3,84,25,2030/8/19
14/2/2020,23,中環,100,19,57,93,29,30,3,81,23,2030/8/20
14/2/2020,24,中環,93,24,44,66,35,46,3,78,27,2030/8/21
15/2/2020,1,中環,89,24,32,45,43,42,2,76,27,2030/8/22
15/2/2020,2,中環,91,22,36,50,35,30,2,78,24,2030/8/23
15/2/2020,3,中環,86,21,29,42,38,30,2,75,27,2030/8/24
15/2/2020,4,中環,87,21,24,35,39,34,3,68,26,2030/8/25
15/2/2020,5,中環,87,18,29,45,34,30,2,70,21,2030/8/26
15/2/2020,6,中環,86,17,24,34,41,24,3,63,21,2030/8/27
15/2/2020,7,中環,86,18,29,45,41,26,2,63,21,2030/8/28
15/2/2020,8,中環,88,21,49,84,25,36,3,75,27,2030/8/29
15/2/2020,9,中環,93,25,61,131,17,49,3,80,31,2030/8/30
15/2/2020,10,中環,95,23,55,95,21,45,3,81,31,2030/8/31
15/2/2020,11,中環,103,22,70,161,13,43,3,80,30,2030/9/1
15/2/2020,12,中環,102,26,76,184,12,50,4,85,33,2030/9/2
15/2/2020,13,中環,112,24,77,177,9,48,4,89,33,2030/9/3
15/2/2020,14,中環,109,22,72,167,14,46,4,81,29,2030/9/4
15/2/2020,15,中環,115,23,78,168,11,46,4,90,31,2030/9/5
15/2/2020,16,中環,113,26,79,178,9,51,4,88,29,2030/9/6
15/2/2020,17,中環,109,24,81,198,8,44,4,88,25,2030/9/7
15/2/2020,18,中環,122,26,86,246,7,47,5,100,25,2030/9/8
15/2/2020,19,中環,106,17,72,180,9,34,5,102,25,2030/9/9
15/2/2020,20,中環,100,17,68,142,13,31,4,98,24,2030/9/10
15/2/2020,21,中環,116,18,68,160,10,32,4,93,25,2030/9/11
15/2/2020,22,中環,107,21,63,157,8,36,4,119,25,2030/9/12
15/2/2020,23,中環,114,21,60,138,7,37,3,95,22,2030/9/13
15/2/2020,24,中環,105,18,59,162,10,36,4,109,20,2030/9/14
16/2/2020,1,中環,117,18,53,125,7,37,4,100,18,2030/9/15
16/2/2020,2,中環,133,12,44,85,11,17,3,113,11,2030/9/16
16/2/2020,3,中環,126,11,36,60,16,14,3,109,9,2030/9/17
16/2/2020,4,中環,123,9,33,65,19,11,3,100,4,2030/9/18
16/2/2020,5,中環,121,4,32,71,17,6,3,98,4,2030/9/19
16/2/2020,6,中環,120,4,36,76,15,6,3,91,0,2030/9/20
16/2/2020,7,中環,119,4,39,83,16,6,3,88,1,2030/9/21
16/2/2020,8,中環,117,4,51,143,12,6,4,87,2,2030/9/22
16/2/2020,9,中環,113,4,48,131,13,6,4,84,3,2030/9/23
16/2/2020,10,中環,112,4,49,138,15,7,4,83,1,2030/9/24
16/2/2020,11,中環,113,4,54,148,17,9,4,85,3,2030/9/25
16/2/2020,12,中環,110,3,60,146,20,8,4,84,2,2030/9/26
16/2/2020,13,中環,113,4,63,149,18,10,4,82,4,2030/9/27
16/2/2020,14,中環,113,5,63,124,26,10,4,87,6,2030/9/28
16/2/2020,15,中環,118,7,69,150,21,13,4,88,6,2030/9/29
16/2/2020,16,中環,116,6,67,160,15,12,5,86,4,2030/9/30
16/2/2020,17,中環,112,5,62,178,17,10,4,82,5,2030/10/1
16/2/2020,18,中環,117,8,76,262,10,11,6,83,6,2030/10/2
16/2/2020,19,中環,112,6,63,182,14,8,5,81,6,2030/10/3
16/2/2020,20,中環,110,12,68,200,14,13,5,81,3,2030/10/4
16/2/2020,21,中環,108,10,71,204,13,12,5,79,6,2030/10/5
16/2/2020,22,中環,105,12,68,195,14,14,5,74,7,2030/10/6
16/2/2020,23,中環,101,10,68,172,13,12,4,70,7,2030/10/7
16/2/2020,24,中環,96,10,62,167,16,13,4,72,6,2030/10/8
17/2/2020,1,中環,93,8,47,101,26,11,3,70,4,2030/10/9
17/2/2020,2,中環,92,7,39,86,30,9,3,67,3,2030/10/10
17/2/2020,3,中環,88,7,30,51,43,9,2,62,5,2030/10/11
17/2/2020,4,中環,82,4,32,56,42,6,3,61,6,2030/10/12
17/2/2020,5,中環,83,7,34,59,38,9,3,59,7,2030/10/13
17/2/2020,6,中環,84,8,35,59,40,11,2,57,6,2030/10/14
17/2/2020,7,中環,86,10,48,89,31,14,3,54,6,2030/10/15
17/2/2020,8,中環,88,11,75,169,18,19,4,54,9,2030/10/16
17/2/2020,9,中環,93,9,112,314,12,21,7,56,8,2030/10/17
17/2/2020,10,中環,89,11,88,225,16,27,6,56,9,2030/10/18
17/2/2020,11,中環,90,12,96,279,14,22,7,55,10,2030/10/19
17/2/2020,12,中環,87,11,100,275,17,21,7,54,12,2030/10/20
17/2/2020,13,中環,88,10,87,206,24,20,6,54,12,2030/10/21
17/2/2020,14,中環,91,11,76,150,33,20,4,55,14,2030/10/22
17/2/2020,15,中環,91,10,92,189,26,19,5,60,11,2030/10/23
17/2/2020,16,中環,86,12,98,211,21,22,6,60,10,2030/10/24
17/2/2020,17,中環,89,10,113,301,16,20,7,43,11,2030/10/25
17/2/2020,18,中環,93,12,134,436,11,22,9,47,14,2030/10/26
17/2/2020,19,中環,95,13,131,434,14,23,11,49,13,2030/10/27
17/2/2020,20,中環,92,19,122,334,14,28,8,47,14,2030/10/28
17/2/2020,21,中環,90,15,95,220,18,24,6,48,13,2030/10/29
17/2/2020,22,中環,90,13,87,172,25,21,5,41,12,2030/10/30
17/2/2020,23,中環,92,11,93,234,15,24,5,41,11,2030/10/31
17/2/2020,24,中環,87,13,84,228,17,28,6,41,12,2030/11/1
18/2/2020,1,中環,77,13,69,152,28,28,5,39,10,2030/11/2
18/2/2020,2,中環,80,13,64,123,27,28,4,39,12,2030/11/3
18/2/2020,3,中環,76,9,67,177,30,29,5,32,9,2030/11/4
18/2/2020,4,中環,73,10,57,116,38,25,4,31,8,2030/11/5
18/2/2020,5,中環,72,10,47,77,43,24,4,35,8,2030/11/6
18/2/2020,6,中環,76,8,64,110,30,20,4,39,8,2030/11/7
18/2/2020,7,中環,78,8,63,137,29,14,4,38,7,2030/11/8
18/2/2020,8,中環,86,9,96,254,11,18,7,43,12,2030/11/9
18/2/2020,9,中環,94,11,117,342,8,24,8,43,12,2030/11/10
18/2/2020,10,中環,85,10,88,193,18,21,6,48,10,2030/11/11
18/2/2020,11,中環,83,10,82,197,27,19,6,42,13,2030/11/12
18/2/2020,12,中環,82,9,63,130,46,20,5,45,11,2030/11/13
18/2/2020,13,中環,80,9,61,118,51,19,4,48,8,2030/11/14
18/2/2020,14,中環,85,9,63,111,53,17,4,44,12,2030/11/15
18/2/2020,15,中環,91,6,69,111,48,15,4,58,14,2030/11/16
18/2/2020,16,中環,89,8,90,179,35,17,5,62,14,2030/11/17
18/2/2020,17,中環,102,7,97,225,25,18,6,57,12,2030/11/18
18/2/2020,18,中環,93,10,101,199,29,20,5,60,14,2030/11/19
18/2/2020,19,中環,97,10,116,216,28,21,5,65,15,2030/11/20
18/2/2020,20,中環,98,12,115,246,25,22,6,61,17,2030/11/21
18/2/2020,21,中環,95,15,99,183,25,25,5,72,18,2030/11/22
18/2/2020,22,中環,95,17,97,174,30,29,5,64,19,2030/11/23
18/2/2020,23,中環,88,17,77,117,44,32,4,67,16,2030/11/24
18/2/2020,24,中環,98,18,61,89,56,31,4,59,14,2030/11/25
19/2/2020,1,中環,76,15,61,89,74,29,3,49,13,2030/11/26
19/2/2020,2,中環,76,14,28,37,90,29,3,41,12,2030/11/27
19/2/2020,3,中環,77,13,18,20,97,29,3,44,13,2030/11/28
19/2/2020,4,中環,78,14,24,29,93,33,3,55,13,2030/11/29
19/2/2020,5,中環,76,15,27,34,87,34,3,63,18,2030/11/30
19/2/2020,6,中環,77,13,29,38,85,28,4,47,18,2030/12/1
19/2/2020,7,中環,81,13,38,50,74,28,3,49,15,2030/12/2
19/2/2020,8,中環,86,16,73,130,31,32,4,59,17,2030/12/3
19/2/2020,9,中環,95,19,105,233,21,36,5,62,20,2030/12/4
19/2/2020,10,中環,98,22,85,146,29,39,4,62,22,2030/12/5
19/2/2020,11,中環,91,21,85,161,35,40,5,62,21,2030/12/6
19/2/2020,12,中環,98,18,81,141,42,36,4,62,22,2030/12/7
19/2/2020,13,中環,88,16,64,103,60,32,5,62,22,2030/12/8
19/2/2020,14,中環,82,13,58,87,63,27,4,62,19,2030/12/9
19/2/2020,15,中環,86,12,70,110,58,25,4,62,15,2030/12/10
19/2/2020,16,中環,92,13,87,140,51,29,4,62,14,2030/12/11
19/2/2020,17,中環,94,13,95,158,45,32,4,65,15,2030/12/12
19/2/2020,18,中環,104,14,105,207,34,28,5,72,15,2030/12/13
19/2/2020,19,中環,102,14,108,237,27,26,5,72,20,2030/12/14
19/2/2020,20,中環,98,15,102,190,32,27,5,70,20,2030/12/15
19/2/2020,21,中環,96,12,96,154,37,23,4,68,20,2030/12/16
19/2/2020,22,中環,86,10,79,120,46,19,4,60,17,2030/12/17
19/2/2020,23,中環,89,14,79,129,42,30,4,59,16,2030/12/18
19/2/2020,24,中環,84,13,61,81,57,27,3,56,13,2030/12/19
20/2/2020,1,中環,90,13,56,70,60,34,3,55,14,2030/12/20
20/2/2020,2,中環,85,13,45,54,68,34,3,53,11,2030/12/21
20/2/2020,3,中環,80,13,41,56,71,29,3,58,12,2030/12/22
20/2/2020,4,中環,82,12,41,56,68,25,3,54,13,2030/12/23
20/2/2020,5,中環,80,11,43,53,63,22,3,56,13,2030/12/24
20/2/2020,6,中環,88,11,53,73,54,22,4,49,13,2030/12/25
20/2/2020,7,中環,90,11,69,106,36,22,3,51,15,2030/12/26
20/2/2020,8,中環,94,15,85,158,26,27,4,61,18,2030/12/27
20/2/2020,9,中環,103,18,120,287,15,33,6,62,18,2030/12/28
20/2/2020,10,中環,98,22,100,219,18,33,5,63,20,2030/12/29
20/2/2020,11,中環,113,20,97,209,23,34,5,63,20,2030/12/30
20/2/2020,12,中環,110,19,103,228,23,36,6,63,20,2030/12/31
20/2/2020,13,中環,106,24,87,147,43,46,5,63,20,2031/1/1
20/2/2020,14,中環,101,25,77,114,63,44,4,71,24,2031/1/2
20/2/2020,15,中環,102,22,86,139,56,35,4,79,29,2031/1/3
20/2/2020,16,中環,97,19,97,159,54,36,4,71,24,2031/1/4
20/2/2020,17,中環,99,16,81,117,59,35,4,57,21,2031/1/5
20/2/2020,18,中環,103,16,101,178,46,34,5,54,18,2031/1/6
20/2/2020,19,中環,95,16,108,198,45,34,5,72,19,2031/1/7
20/2/2020,20,中環,94,16,97,162,49,34,4,76,24,2031/1/8
20/2/2020,21,中環,96,14,62,89,71,28,3,61,21,2031/1/9
20/2/2020,22,中環,92,14,47,65,79,28,3,65,17,2031/1/10
20/2/2020,23,中環,85,12,41,57,82,28,3,51,15,2031/1/11
20/2/2020,24,中環,80,10,39,55,82,28,2,51,14,2031/1/12
21/2/2020,1,中環,79,13,22,29,93,32,2,47,15,2031/1/13
21/2/2020,2,中環,76,11,15,20,94,31,2,44,12,2031/1/14
21/2/2020,3,中環,74,11,20,28,89,29,2,44,8,2031/1/15
21/2/2020,4,中環,76,9,16,21,90,19,2,47,9,2031/1/16
21/2/2020,5,中環,77,12,17,23,84,23,2,54,11,2031/1/17
21/2/2020,6,中環,78,12,19,25,86,21,2,53,11,2031/1/18
21/2/2020,7,中環,81,9,25,30,78,17,2,50,10,2031/1/19
21/2/2020,8,中環,83,8,56,85,54,15,2,46,10,2031/1/20
21/2/2020,9,中環,83,9,80,140,38,16,4,53,10,2031/1/21
21/2/2020,10,中環,86,8,60,106,49,18,3,55,13,2031/1/22
21/2/2020,11,中環,84,7,63,109,52,20,3,54,13,2031/1/23
21/2/2020,12,中環,86,7,69,129,49,20,4,53,12,2031/1/24
21/2/2020,13,中環,98,10,64,107,55,24,4,60,15,2031/1/25
21/2/2020,14,中環,93,10,66,100,57,21,3,64,15,2031/1/26
21/2/2020,15,中環,100,12,69,116,59,23,4,59,16,2031/1/27
21/2/2020,16,中環,95,9,79,121,55,23,4,62,16,2031/1/28
21/2/2020,17,中環,96,13,89,150,47,27,3,70,16,2031/1/29
21/2/2020,18,中環,102,11,111,231,33,23,4,78,18,2031/1/30
21/2/2020,19,中環,113,15,121,256,20,24,6,100,21,2031/1/31
21/2/2020,20,中環,133,18,128,284,11,26,6,99,22,2031/2/1
21/2/2020,21,中環,171,20,120,279,9,29,6,113,27,2031/2/2
21/2/2020,22,中環,161,23,123,283,8,34,6,83,26,2031/2/3
21/2/2020,23,中環,126,19,113,206,14,34,5,84,23,2031/2/4
21/2/2020,24,中環,125,16,113,226,12,35,4,84,23,2031/2/5
22/2/2020,1,中環,123,17,101,190,11,34,4,91,20,2031/2/6
22/2/2020,2,中環,128,17,113,221,12,32,4,98,19,2031/2/7
22/2/2020,3,中環,119,17,104,212,9,32,5,88,18,2031/2/8
22/2/2020,4,中環,116,17,103,195,11,32,4,112,17,2031/2/9
22/2/2020,5,中環,113,15,88,134,11,35,3,90,18,2031/2/10
22/2/2020,6,中環,119,15,88,172,7,21,4,107,20,2031/2/11
22/2/2020,7,中環,120,16,84,187,6,24,4,121,19,2031/2/12
22/2/2020,8,中環,151,17,109,372,6,26,7,122,24,2031/2/13
22/2/2020,9,中環,150,27,139,705,6,41,14,120,30,2031/2/14
22/2/2020,10,中環,157,39,155,806,5,65,20,101,36,2031/2/15
22/2/2020,11,中環,132,40,156,406,10,65,14,107,44,2031/2/16
22/2/2020,12,中環,117,36,136,255,26,53,9,90,51,2031/2/17
22/2/2020,13,中環,112,28,119,201,41,45,7,67,37,2031/2/18
22/2/2020,14,中環,115,31,159,286,31,51,7,75,30,2031/2/19
22/2/2020,15,中環,118,35,154,283,27,56,8,74,35,2031/2/20
22/2/2020,16,中環,112,32,134,244,33,51,6,82,35,2031/2/21
22/2/2020,17,中環,106,29,96,131,68,48,4,84,35,2031/2/22
22/2/2020,18,中環,108,27,84,108,75,41,4,73,33,2031/2/23
22/2/2020,19,中環,103,21,92,122,63,34,4,69,29,2031/2/24
22/2/2020,20,中環,101,22,84,114,62,35,4,74,26,2031/2/25
22/2/2020,21,中環,95,17,51,72,75,29,3,73,23,2031/2/26
22/2/2020,22,中環,89,14,47,65,69,26,3,66,22,2031/2/27
22/2/2020,23,中環,84,12,41,56,77,25,3,66,17,2031/2/28
22/2/2020,24,中環,83,12,40,54,79,26,2,53,15,2031/3/1
23/2/2020,1,中環,86,16,26,37,94,31,2,53,19,2031/3/2
23/2/2020,2,中環,85,18,21,27,95,31,2,51,18,2031/3/3
23/2/2020,3,中環,83,18,15,17,103,30,2,50,19,2031/3/4
23/2/2020,4,中環,87,20,12,14,107,32,3,50,19,2031/3/5
23/2/2020,5,中環,89,21,13,17,105,33,3,54,20,2031/3/6
23/2/2020,6,中環,88,21,13,17,100,32,2,56,20,2031/3/7
23/2/2020,7,中環,88,19,18,22,92,31,3,57,21,2031/3/8
23/2/2020,8,中環,88,19,30,41,81,31,3,58,20,2031/3/9
23/2/2020,9,中環,88,18,22,30,86,31,2,57,21,2031/3/10
23/2/2020,10,中環,91,22,33,46,79,33,3,60,21,2031/3/11
23/2/2020,11,中環,96,17,37,55,80,30,3,64,21,2031/3/12
23/2/2020,12,中環,96,21,32,46,84,32,3,56,20,2031/3/13
23/2/2020,13,中環,99,16,44,67,77,28,3,57,18,2031/3/14
23/2/2020,14,中環,96,16,49,69,81,26,3,69,17,2031/3/15
23/2/2020,15,中環,92,16,58,91,77,25,3,72,21,2031/3/16
23/2/2020,16,中環,94,16,58,80,85,27,4,67,26,2031/3/17
23/2/2020,17,中環,95,24,63,80,92,42,4,74,28,2031/3/18
23/2/2020,18,中環,97,25,57,73,101,52,4,79,29,2031/3/19
23/2/2020,19,中環,96,25,60,80,89,54,3,67,29,2031/3/20
23/2/2020,20,中環,94,27,61,83,84,60,3,67,28,2031/3/21
23/2/2020,21,中環,95,28,68,98,76,70,3,66,28,2031/3/22
23/2/2020,22,中環,90,27,54,77,92,76,4,61,26,2031/3/23
23/2/2020,23,中環,89,25,47,67,88,63,3,57,22,2031/3/24
23/2/2020,24,中環,85,24,40,53,95,64,3,55,20,2031/3/25
24/2/2020,1,中環,87,22,44,60,88,60,4,55,22,2031/3/26
24/2/2020,2,中環,90,22,30,37,100,58,3,53,18,2031/3/27
24/2/2020,3,中環,85,19,24,29,103,54,4,53,18,2031/3/28
24/2/2020,4,中環,85,19,19,22,104,51,3,50,18,2031/3/29
24/2/2020,5,中環,85,19,20,23,106,51,3,53,20,2031/3/30
24/2/2020,6,中環,89,23,19,21,107,54,3,54,20,2031/3/31
24/2/2020,7,中環,91,22,35,44,90,50,3,55,20,2031/4/1
24/2/2020,8,中環,97,22,66,91,64,52,4,67,25,2031/4/2
24/2/2020,9,中環,106,22,98,160,38,53,4,73,26,2031/4/3
24/2/2020,10,中環,113,24,87,144,41,56,4,69,24,2031/4/4
24/2/2020,11,中環,108,24,78,127,53,55,4,68,22,2031/4/5
24/2/2020,12,中環,106,23,74,121,57,51,4,67,21,2031/4/6
24/2/2020,13,中環,103,24,65,106,68,47,4,71,19,2031/4/7
24/2/2020,14,中環,113,23,75,112,67,46,4,73,25,2031/4/8
24/2/2020,15,中環,106,23,73,109,66,46,4,71,26,2031/4/9
24/2/2020,16,中環,107,20,67,99,67,42,4,71,22,2031/4/10
24/2/2020,17,中環,107,17,80,127,60,39,3,72,21,2031/4/11
24/2/2020,18,中環,113,23,87,151,49,47,4,72,24,2031/4/12
24/2/2020,19,中環,112,20,111,218,33,41,4,79,23,2031/4/13
24/2/2020,20,中環,119,24,99,159,42,46,4,87,26,2031/4/14
24/2/2020,21,中環,120,25,78,113,55,45,3,81,28,2031/4/15
24/2/2020,22,中環,154,21,71,95,64,41,3,74,24,2031/4/16
24/2/2020,23,中環,164,21,79,110,48,44,3,78,23,2031/4/17
24/2/2020,24,中環,105,21,65,93,62,44,3,76,20,2031/4/18
25/2/2020,1,中環,100,21,58,77,60,75,3,77,21,2031/4/19
25/2/2020,2,中環,98,21,52,64,62,41,3,76,19,2031/4/20
25/2/2020,3,中環,98,21,42,52,68,44,2,65,19,2031/4/21
25/2/2020,4,中環,99,17,28,32,79,42,2,66,17,2031/4/22
25/2/2020,5,中環,94,17,28,33,79,35,3,63,18,2031/4/23
25/2/2020,6,中環,105,17,46,60,58,35,3,75,17,2031/4/24
25/2/2020,7,中環,111,16,72,108,28,36,3,73,19,2031/4/25
25/2/2020,8,中環,106,18,86,145,28,40,3,73,22,2031/4/26
25/2/2020,9,中環,110,19,115,255,18,42,5,79,22,2031/4/27
25/2/2020,10,中環,118,22,108,236,14,43,5,72,21,2031/4/28
25/2/2020,11,中環,116,19,104,296,14,42,5,76,20,2031/4/29
25/2/2020,12,中環,109,22,80,150,31,45,4,65,23,2031/4/30
25/2/2020,13,中環,115,22,85,204,21,45,4,70,20,2031/5/1
25/2/2020,14,中環,142,17,89,190,18,36,4,76,20,2031/5/2
25/2/2020,15,中環,130,17,91,217,14,37,5,76,24,2031/5/3
25/2/2020,16,中環,134,19,92,227,13,39,5,73,22,2031/5/4
25/2/2020,17,中環,138,18,94,198,13,40,5,71,19,2031/5/5
25/2/2020,18,中環,159,17,89,238,9,34,5,75,19,2031/5/6
25/2/2020,19,中環,135,22,90,210,9,38,5,81,22,2031/5/7
25/2/2020,20,中環,135,18,92,206,9,32,5,90,28,2031/5/8
25/2/2020,21,中環,142,19,85,177,13,35,4,92,31,2031/5/9
25/2/2020,22,中環,127,23,87,185,8,40,4,88,27,2031/5/10
25/2/2020,23,中環,152,26,87,206,6,48,5,78,25,2031/5/11
25/2/2020,24,中環,144,23,77,196,6,47,5,82,22,2031/5/12
26/2/2020,1,中環,151,22,67,218,5,40,6,97,22,2031/5/13
26/2/2020,2,中環,134,18,56,243,5,48,6,88,22,2031/5/14
26/2/2020,3,中環,119,19,46,167,5,56,5,81,19,2031/5/15
26/2/2020,4,中環,113,13,40,109,6,44,3,84,19,2031/5/16
26/2/2020,5,中環,108,12,44,117,9,31,4,92,18,2031/5/17
26/2/2020,6,中環,98,13,44,84,22,25,3,86,20,2031/5/18
26/2/2020,7,中環,120,15,55,168,7,24,4,80,20,2031/5/19
26/2/2020,8,中環,145,18,78,324,5,28,6,93,20,2031/5/20
26/2/2020,9,中環,144,25,106,485,5,39,9,102,21,2031/5/21
26/2/2020,10,中環,127,26,82,249,7,40,6,108,26,2031/5/22
26/2/2020,11,中環,123,12,73,198,11,20,5,78,23,2031/5/23
26/2/2020,12,中環,117,7,71,213,13,13,5,68,16,2031/5/24
26/2/2020,13,中環,124,12,87,300,7,20,7,63,15,2031/5/25
26/2/2020,14,中環,113,16,88,249,7,27,7,61,15,2031/5/26
26/2/2020,15,中環,130,15,101,348,6,26,9,63,20,2031/5/27
26/2/2020,16,中環,154,22,113,464,5,47,12,61,20,2031/5/28
26/2/2020,17,中環,131,26,112,463,4,54,12,64,17,2031/5/29
26/2/2020,18,中環,149,26,112,516,5,47,13,68,19,2031/5/30
26/2/2020,19,中環,162,26,116,535,5,44,14,79,19,2031/5/31
26/2/2020,20,中環,155,29,112,477,5,40,12,81,19,2031/6/1
26/2/2020,21,中環,157,29,105,421,4,43,13,98,24,2031/6/2
26/2/2020,22,中環,161,31,109,486,4,41,12,109,27,2031/6/3
26/2/2020,23,中環,178,27,110,597,4,41,15,101,26,2031/6/4
26/2/2020,24,中環,173,24,97,545,5,39,14,88,18,2031/6/5
27/2/2020,1,中環,161,29,84,503,5,40,13,84,12,2031/6/6
27/2/2020,2,中環,132,31,52,261,4,43,8,101,15,2031/6/7
27/2/2020,3,中環,134,27,52,231,5,41,6,74,12,2031/6/8
